Ligand	1_Energy	Mass
ZINC78991734	-10,3	360,263
ZINC19563935	-10,3	402,244
ZINC78939426	-10,3	378,371
ZINC10545273	-10,3	339,269
ZINC08630531	-10,3	427,783
ZINC09688506	-10,3	380,298
ZINC39891988	-10,3	366,235
ZINC17974139	-10,3	450,72
ZINC65315343	-10,3	355,271
ZINC14559746	-10,3	353,273
ZINC27972064	-10,3	350,272
ZINC40086781	-10,3	397,272
ZINC04416606	-10,3	395,313
ZINC93890292	-10,3	368,27
ZINC64929176	-10,3	373,309
ZINC81453449	-10,3	343,257
ZINC09703481	-10,3	468,209
ZINC69095793	-10,3	381,328
ZINC90127850	-10,3	327,258
ZINC14200650	-10,3	362,259
ZINC06897361	-10,3	399,348
ZINC03451472	-10,3	422,404
ZINC38765743	-10,3	437,779
ZINC84519585	-10,3	315,244
ZINC20837163	-10,3	401,367
ZINC38587687	-10,3	354,284
ZINC27533590	-10,3	478,332
